Duration,
2029.93,
2025.37,
2028.38,
2036.17,
2043.38,
2030.76,
2026.18,
2024.38,
2036.72,
2038.4,
2033.35,
2034.1,
2029.28,
2024.92,
2025.19,
2043.55,
2043.95,
2032.81,
2021.24,
2037.72,
2030.83,
2042.56,
2041.68,
2029.25,
2009.96,
2013.29,
2038.85,
2032.4,
2030.69,
2037.78,
2032.37,
2027.25,
2031.87,
2036.32,
2020.41,
2031.97,
2035.01,
2031.54,
2043.67,
2048.35,
2011.12,
2029.65,
2032.8,
2025.66,
2043.17,
2024.85,
2040.39,
2013.36,
2025.87,
2028.94,
2035.88,
2037.35,
2025.05,
2024.04,
2025.1,
2027.35,
2007.53,
2019.91,
2044.02,
2044.65,
2038.23,
2009.07,
2043.91,
2042.59,
2035.94,
2043.09,
2040.14,
2033.56,
2019.54,
2027.17,
2030.72,
2037.99,
2044.57,
2011.24,
2024.21,
2033.51,
2032.45,
2020.18,
2043.25,
2030.83,
2027.93,
2037.73,
2011.28,
2015.73,
2022.97,
2009.2,
2041.28,
2043.35,
2035.99,
2024.87,
2008.05,
2039.43,
2015.29,
2032.95,
2026.14,
2032.76,
2016.13,
2036.18,
2033.09,
2027.5,
2036.55,
2041.35,
2035.99,
2040.23,
2033.61,
2047.06,
2025.95,
2034.91,
2042.71,
2032.41,
2024.35,
2041.98,
2033.95,
2025.42,
2044.35,
2044.13,
2016.17,
2025.13,
2024.83,
2011.97,
2040.47,
2035.61,
2008.07,
2021.3,
2036.46,
2019.21,
2041.19,
2023.84,
2026.8,
2042.35,
2028.98,
2034.27,
2037.92,
2007.13,
2012.16,
2030.25,
2031.58,
2024.49,
2040.2,
2031.6,
2043.08,
2033.57,
2006.97,
2020.2,
2015.56,
2016.23,
2037.24,
2042.82,
2032.94,
2025.62,
2028.46,
2033.82,
2036.61,
2029.84,
2025.95,
2041.59,
2028.48,
2026.03,
2043.66,
2036.38,
2014.51,
2031.43,
2050.63,
2042.81,
2042.48,
2019.19,
2026.95,
2033.26,
2029.72,
2011.31,
2030.09,
2037.92,
2035.11,
2035.46,
2026.32,
2043.61,
2037.4,
2027.27,
2027.33,
2030.7,
2027.01,
2032.14,
2016.69,
2035.4,
2047.86,
2020.67,
2037.21,
2035.28,
2037.84,
2012.89,
2030.3,
2037.39,
2032.68,
2025.31,
2030.82,
2034.39,
2041.35,
2030.58,
2036.43,
2034.71,
2016.16,
2040.08,
2037.58,
2013.16,
2020.87,
2040.01,
2035.66,
2026.73,
2033.83,
2027.17,
2033.93,
2036.18,
2038.35,
2026.37,
2031.39,
2034.59,
2019.75,
2025.83,
2026.8,
2042.73,
2029.8,
2032.28,
2027.88,
2024.78,
2044.05,
